Seq,Subject ID,Action,Share,PathRoot,PathMid,PathTail,fileName,fileType,Bytes,Start Hr,Start Min,Start Sec,Finish Hr,Finish Min,Finish Sec
29,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:Crew:,Workflow,EMPTY,EMPTY,4132,15,13,37.405,15,13,39.925
30,222,LIST_DIR,PUBLIC,Users,john:ConvoyPlanning:Crew:,Workflow,EMPTY,EMPTY,9278,15,13,44.98,15,13,45.127
31,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:Crew:,Inbox,EMPTY,EMPTY,7946,15,13,46.06,15,13,48.331
32,222,DELETE,PUBLIC,Users,john:ConvoyPlanning:Crew:,Inbox,Ev3_dd_1821_17_Nov.pdf,.pdf,4498,15,13,48.331,15,14,11.755
33,222,CHANGE_DIR,PUBLIC,Users,,Users,EMPTY,EMPTY,47302,15,14,12.369,15,14,14.121
34,222,CHANGE_DIR,PUBLIC,Users,john:,ConvoyPlanning,EMPTY,EMPTY,16766,15,14,16.943,15,14,17.373
35,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,11648,15,14,19.968,15,14,21.777
36,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:Crew:,Inbox,EMPTY,EMPTY,12654,15,14,24.655,15,14,25.067
37,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:Crew:,Inbox,Ev4_dd_1821_17_Nov.pdf,.pdf,6066,15,14,27.454,15,14,27.816
38,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,13839,15,14,29.952,15,14,31.348
39,222,OPENMS,PUBLIC,Users,john:ConvoyPlanning:,Crew,Crew_Roster.xls,.xls,15818,15,14,32.057,15,14,42.705
40,222,WRITE,PUBLIC,Users,john:ConvoyPlanning:,Crew,Crew_Roster.xls,.xls,31988,15,15,8.92,15,15,9.332
41,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,15665,15,15,12.932,15,15,17.937
42,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:Crew:,Workflow,log.txt,.txt,3243,15,15,19.563,15,15,20.091
43,222,WRITE,PUBLIC,Users,john:ConvoyPlanning:Crew:,Workflow,log.txt,.txt,6000,15,15,32.939,15,15,42.97
44,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:Crew:,Workflow,EMPTY,EMPTY,11543,15,15,49.31,15,15,49.467
45,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,9155,15,15,52.937,15,15,54.787
46,222,CHANGE_DIR,PUBLIC,Users,john:,ConvoyPlanning,EMPTY,EMPTY,76516,15,16,18.653,15,16,20.814
47,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Intel,EMPTY,EMPTY,27704,15,16,23.274,15,16,24.617
48,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,9360,15,16,25.595,15,16,25.763
49,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:Crew:,Inbox,EMPTY,EMPTY,19267,15,16,26.587,15,16,30.041
50,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:Crew:,Inbox,Eva_dd_1821_17_Nov.pdf,.pdf,6066,15,16,34.522,15,16,34.876
51,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,6979,15,16,35.752,15,16,36.541
52,222,LIST_DIR,PUBLIC,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,8853,15,16,36.702,15,16,37.449
53,222,OPENMS,PUBLIC,Users,john:ConvoyPlanning:,Crew,Crew_Roster.xls,.xls,15588,15,16,38.116,15,16,48.76
54,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,14545,15,17,10.787,15,17,10.999
55,222,LIST_DIR,PUBLIC,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,964,15,17,10.794,15,17,10.999
56,222,LIST_DIR,PUBLIC,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,28821,15,17,17.557,15,17,19.331
57,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:Crew:,Workflow,log.txt,.txt,3503,15,17,19.98,15,17,21.04
58,222,WRITE,PUBLIC,Users,john:ConvoyPlanning:Crew:,Workflow,log.txt,.txt,5198,15,17,29.948,15,17,36.34
59,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:Crew:,Workflow,EMPTY,EMPTY,11203,15,17,39.463,15,17,39.949
60,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:Crew:,Inbox,EMPTY,EMPTY,7906,15,17,40.684,15,17,44.232
61,222,CHANGE_DIR,PUBLIC,Users,,Users,EMPTY,EMPTY,51233,15,18,0.249,15,18,1.934
62,222,CHANGE_DIR,PUBLIC,Users,john:,ConvoyPlanning,EMPTY,EMPTY,17377,15,18,4.62,15,18,5.036
63,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:Crew:,Inbox,EMPTY,EMPTY,19236,15,18,6.043,15,18,8.33
64,222,LIST_DIR,PUBLIC,Users,john:ConvoyPlanning:Crew:,Inbox,EMPTY,EMPTY,4220,15,18,10.857,15,18,16.668
65,222,RENAME,PUBLIC,Users,john:ConvoyPlanning:Crew:,Inbox,EMPTY,EMPTY,245344,15,20,31.736,15,20,43.605
66,222,RENAME,PUBLIC,Users,john:ConvoyPlanning:Crew:,Inbox,EMPTY,EMPTY,6506,15,20,43.601,15,20,43.605
1,222,CHANGE_DIR,EMPTY,Users,,Dennis,EMPTY,EMPTY,16849,14,55,56.554,14,55,56.985
2,222,CHANGE_DIR,EMPTY,Users,,former_students,EMPTY,EMPTY,72530,14,55,59.03,14,56,0.846
3,222,CHANGE_DIR,EMPTY,Users,,Users,EMPTY,EMPTY,49878,14,56,12.873,14,56,37.649
4,222,CHANGE_DIR,EMPTY,Users,john:,ConvoyPlanning,EMPTY,EMPTY,18031,14,56,40.602,14,56,41.017
5,222,CHANGE_DIR,EMPTY,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,12685,14,56,43.404,14,56,43.835
6,222,CHANGE_DIR,EMPTY,Users,john:ConvoyPlanning:Crew:,Inbox,EMPTY,EMPTY,9162,14,56,46.106,14,56,46.345
7,222,OPEN,EMPTY,Users,john:ConvoyPlanning:Crew:,Inbox,Evans_dd_1821_17_Nov.pdf,.pdf,6122,14,56,53.244,14,56,53.667
8,222,CHANGE_DIR,EMPTY,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,11137,14,57,0.325,14,57,0.337
9,222,LIST_DIR,EMPTY,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,4845,14,57,0.462,14,57,3.03
